DATA;Longitude;Latitude;TSRED;OPAD;WIATR;SOLAR
2001-10-04;20.9375;52.2983017;13.235;4.825402711;1.892772189;1.126350018
2001-10-05;20.9375;52.2983017;12.549;0.485801842;2.100410309;5.530054392
2001-10-06;20.9375;52.2983017;12.858;0.109863302;2.243097496;9.482175792
2001-10-07;20.9375;52.2983017;14.983;0.024032585;3.255508055;9.815628528
2001-10-08;20.9375;52.2983017;17.005;0.372505392;2.998418502;9.663359688
2001-10-09;20.9375;52.2983017;16.0595;0.12016301;1.720485068;5.8974228
2001-10-10;20.9375;52.2983017;15.4425;0.006866453;2.885681638;9.664197408
2001-10-11;20.9375;52.2983017;11.4625;2.283953832;5.179582403;1.58051268
2001-10-12;20.9375;52.2983017;11.8245;0.017166132;2.717003983;9.605254608
2001-10-13;20.9375;52.2983017;13.8435;0.322723721;2.456097059;8.574129792
2001-10-14;20.9375;52.2983017;14.4325;0;1.859453894;6.680815488
2001-10-15;20.9375;52.2983017;12.3305;0.175094611;2.558485822;5.417153568
2001-10-16;20.9375;52.2983017;12.258;1.047992796;3.192904133;1.54569339
2001-10-17;20.9375;52.2983017;12.3015;1.078034796;1.479950209;1.83009411
2001-10-18;20.9375;52.2983017;11.0885;0.933837984;1.165653568;2.74494402
2001-10-19;20.9375;52.2983017;9.7795;0.07209779;1.259965357;5.537189592
2001-10-20;20.9375;52.2983017;9.795;0.020599358;1.796541332;5.50558062
2001-10-21;20.9375;52.2983017;8.5215;0.484085232;3.646707355;2.895528168
2001-10-22;20.9375;52.2983017;8.7755;11.28845772;2.002383115;0.53797473
2001-10-23;20.9375;52.2983017;4.504;0.658321567;3.034363975;2.94508215
2001-10-24;20.9375;52.2983017;1.7955;0;2.905915018;9.0754821
2001-10-25;20.9375;52.2983017;2.6545;0;3.191575749;8.88986088
2001-10-26;20.9375;52.2983017;7.6185;0.849723566;2.041521997;2.20117482
2001-10-27;20.9375;52.2983017;8.831;0.085830696;3.558252133;6.19329438
2001-10-28;20.9375;52.2983017;8.401;2.070237182;4.101208423;1.90912473
2001-10-29;20.9375;52.2983017;9.011;3.29590332;4.57225509;2.07601812
2001-10-30;20.9375;52.2983017;10.7935;11.71760508;6.651645926;0.65750607
2001-10-31;20.9375;52.2983017;15.2265;1.75437828;5.452148702;6.0184692
2001-11-01;20.9375;52.2983017;8.509;1.651381992;7.413795977;2.59335081
2001-11-02;20.9375;52.2983017;3.943;0.072097826;4.220237404;3.89069433
2001-11-03;20.9375;52.2983017;4.763;1.704597588;3.679545624;1.21252518
2001-11-04;20.9375;52.2983017;9.2395;1.338958166;4.10019312;3.91916313
2001-11-05;20.9375;52.2983017;5.552;1.8848421;5.528822389;3.865390218
2001-11-06;20.9375;52.2983017;2.8415;0.549316238;4.168743072;3.65957244
2001-11-07;20.9375;52.2983017;6.1045;4.861452204;5.094014439;1.360799568
2001-11-08;20.9375;52.2983017;5.639;3.536222213;3.626078008;2.61770832
2001-11-09;20.9375;52.2983017;5.315;1.881408348;5.237457655;1.372612752
2001-11-10;20.9375;52.2983017;1.14;0.09269712;3.722757017;5.79245256
2001-11-11;20.9375;52.2983017;1.666;0.181960992;5.315904254;5.20205616
2001-11-12;20.9375;52.2983017;3.04;0.451469311;3.851004969;1.70668152
2001-11-13;20.9375;52.2983017;2.276;0.83599092;3.258591931;5.2898598
2001-11-14;20.9375;52.2983017;1.2355;0.096130382;2.657807253;3.43198116
2001-11-15;20.9375;52.2983017;1.029;1.050567818;5.600900339;4.9144464
2001-11-16;20.9375;52.2983017;3.096;1.38015756;5.973908779;2.427075
2001-11-17;20.9375;52.2983017;1.051;0.405120938;4.253711902;4.51023516
2001-11-18;20.9375;52.2983017;4.464;2.55432096;3.89801562;0.63213732
2001-11-19;20.9375;52.2983017;2.9875;2.602386;3.915803128;1.4225634
2001-11-20;20.9375;52.2983017;-0.59;3.096774036;1.473676509;1.306743912
2001-11-21;20.9375;52.2983017;1.322;1.888274678;3.137915974;1.23575652
2001-11-22;20.9375;52.2983017;4.9995;7.58743452;6.050021723;0.47098152
